date,product_code,product_name,category,raw_grain,demand_orders_tonnes,dispatched_tonnes,unmet_demand_tonnes,demand_met,stockout_flag,fill_rate_pct,unit_price_usd_per_kg,revenue_usd,lost_sales_usd,is_school_term,is_public_holiday,is_festive,is_month_end,is_promo,drought_index,day_of_week,month,year
2023-01-01,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,64.409,64.409,0.0,1,0,100.0,0.85,54747.92,0.0,0,1,1,1,0,1.0,Sunday,1,2023
2023-01-01,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,245.267,245.267,0.0,1,0,100.0,0.62,152065.69,0.0,0,1,1,1,0,1.0,Sunday,1,2023
2023-01-01,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,64.37,60.803,3.568,0,1,94.5,1.3,79043.4,4637.86,0,1,1,1,0,1.0,Sunday,1,2023
2023-01-02,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,263.346,263.346,0.0,1,0,100.0,0.85,223844.09,0.0,0,0,1,1,0,1.0,Monday,1,2023
2023-01-02,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,399.215,399.215,0.0,1,0,100.0,0.62,247513.52,0.0,0,0,1,1,0,1.0,Monday,1,2023
2023-01-02,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,79.824,79.824,0.0,1,0,100.0,1.3,103770.63,0.0,0,0,1,1,0,1.0,Monday,1,2023
2023-01-03,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,261.17,261.17,0.0,1,0,100.0,0.85,221994.64,0.0,0,0,1,1,0,1.0,Tuesday,1,2023
2023-01-03,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,388.472,365.371,23.101,0,1,94.1,0.62,226530.25,14322.36,0,0,1,1,0,1.0,Tuesday,1,2023
2023-01-03,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,83.776,83.776,0.0,1,0,100.0,1.3,108908.8,0.0,0,0,1,1,0,1.0,Tuesday,1,2023
2023-01-04,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,242.62,228.074,14.546,0,1,94.0,0.85,193862.58,12364.47,0,0,1,1,0,1.0,Wednesday,1,2023
2023-01-04,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,417.868,417.868,0.0,1,0,100.0,0.62,259078.31,0.0,0,0,1,1,0,1.0,Wednesday,1,2023
2023-01-04,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,82.747,82.747,0.0,1,0,100.0,1.3,107570.72,0.0,0,0,1,1,0,1.0,Wednesday,1,2023
2023-01-05,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,252.442,252.442,0.0,1,0,100.0,0.85,214575.52,0.0,0,0,1,1,0,1.0,Thursday,1,2023
2023-01-05,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,435.959,414.123,21.836,0,1,95.0,0.62,256756.18,13538.34,0,0,1,1,0,1.0,Thursday,1,2023
2023-01-05,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,86.909,83.859,3.049,0,1,96.5,1.3,109017.1,3964.02,0,0,1,1,0,1.0,Thursday,1,2023
2023-01-06,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,243.189,231.301,11.887,0,1,95.1,0.85,196606.17,10104.31,0,0,1,0,0,1.0,Friday,1,2023
2023-01-06,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,393.048,393.048,0.0,1,0,100.0,0.62,243689.83,0.0,0,0,1,0,0,1.0,Friday,1,2023
2023-01-06,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,81.258,81.258,0.0,1,0,100.0,1.3,105634.95,0.0,0,0,1,0,0,1.0,Friday,1,2023
2023-01-07,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,152.685,152.685,0.0,1,0,100.0,0.85,129782.5,0.0,0,0,0,0,0,1.0,Saturday,1,2023
2023-01-07,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,385.123,385.123,0.0,1,0,100.0,0.62,238776.01,0.0,0,0,0,0,0,1.0,Saturday,1,2023
2023-01-07,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,85.626,85.626,0.0,1,0,100.0,1.3,111313.62,0.0,0,0,0,0,0,1.0,Saturday,1,2023
2023-01-08,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,111.999,111.999,0.0,1,0,100.0,0.85,95199.08,0.0,0,0,0,0,0,1.0,Sunday,1,2023
2023-01-08,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,241.207,241.207,0.0,1,0,100.0,0.62,149548.15,0.0,0,0,0,0,0,1.0,Sunday,1,2023
2023-01-08,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,55.893,55.893,0.0,1,0,100.0,1.3,72661.5,0.0,0,0,0,0,0,1.0,Sunday,1,2023
2023-01-09,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,206.04,206.04,0.0,1,0,100.0,0.85,175134.08,0.0,0,0,0,0,0,1.0,Monday,1,2023
2023-01-09,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,291.989,291.989,0.0,1,0,100.0,0.62,181033.24,0.0,0,0,0,0,0,1.0,Monday,1,2023
2023-01-09,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,65.051,65.051,0.0,1,0,100.0,1.3,84565.74,0.0,0,0,0,0,0,1.0,Monday,1,2023
2023-01-10,FL-SW-50,Gloria Super White Bread Flour (Flour),Flour,Wheat,214.927,214.927,0.0,1,0,100.0,0.85,182687.84,0.0,1,0,0,0,0,1.0,Tuesday,1,2023
2023-01-10,MZ-RS-10,Red Seal Super Roller Meal (Maize Meal),Maize Meal,White Maize,352.047,352.047,0.0,1,0,100.0,0.62,218268.84,0.0,1,0,0,0,0,1.0,Tuesday,1,2023
2023-01-10,RC-MH-25,Mahatma White Rice (Rice),Rice,Imported Paddy,75.225,75.225,0.0,1,0,100.0,1.3,97793.09,0.0,1,0,0,0,0,1.0,Tuesday,1,2023
